filename,path,operationId,verb,response_object,tags,stackql_service_name,stackql_resource_name,stackql_method_name,stackql_verb
management-minimal.yaml,/api/v1/authenticators/{authenticatorId},getAuthenticator,get,,Authenticator,authenticators,authenticators,get_authenticator,
management-minimal.yaml,/api/v1/authenticators/{authenticatorId},replaceAuthenticator,put,,Authenticator,authenticators,authenticators,replace_authenticator,
management-minimal.yaml,/api/v1/authenticators/{authenticatorId}/lifecycle/activate,activateAuthenticator,post,,Authenticator,authenticators,authenticators,activate_authenticator,
management-minimal.yaml,/api/v1/authenticators/{authenticatorId}/lifecycle/deactivate,deactivateAuthenticator,post,,Authenticator,authenticators,authenticators,deactivate_authenticator,
management-minimal.yaml,/api/v1/authenticators/{authenticatorId}/methods,listAuthenticatorMethods,get,AuthenticatorMethodBase,Authenticator,authenticators,methods,list_authenticator_methods,
management-minimal.yaml,/api/v1/authenticators/{authenticatorId}/methods/{methodType},getAuthenticatorMethod,get,AuthenticatorMethodBase,Authenticator,authenticators,methods,get_authenticator_method,
management-minimal.yaml,/api/v1/authenticators/{authenticatorId}/methods/{methodType},replaceAuthenticatorMethod,put,AuthenticatorMethodBase,Authenticator,authenticators,methods,replace_authenticator_method,
management-minimal.yaml,/api/v1/authenticators/{authenticatorId}/methods/{methodType}/lifecycle/activate,activateAuthenticatorMethod,post,AuthenticatorMethodBase,Authenticator,authenticators,methods,activate_authenticator_method,
management-minimal.yaml,/api/v1/authenticators/{authenticatorId}/methods/{methodType}/lifecycle/deactivate,deactivateAuthenticatorMethod,post,AuthenticatorMethodBase,Authenticator,authenticators,methods,deactivate_authenticator_method,
management-minimal.yaml,/api/v1/authorizationServers,listAuthorizationServers,get,AuthorizationServer,AuthorizationServer,authorization_servers,authorization_servers,list_authorization_servers,
management-minimal.yaml,/api/v1/authorizationServers,createAuthorizationServer,post,AuthorizationServer,AuthorizationServer,authorization_servers,authorization_servers,create_authorization_server,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId},getAuthorizationServer,get,AuthorizationServer,AuthorizationServer,authorization_servers,authorization_servers,get_authorization_server,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId},replaceAuthorizationServer,put,AuthorizationServer,AuthorizationServer,authorization_servers,authorization_servers,replace_authorization_server,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId},deleteAuthorizationServer,delete,,AuthorizationServer,authorization_servers,authorization_servers,delete_authorization_server,
